Timestamp,Calitate aer,Temperatura,Umiditate,Geam Deschis,Locatie,Numar persoane,Ventilatie activa,Tip Incinta,Vreme,Trafic,Data,Timpul
2025-05-01 15:09:08+00:00,68.0,26.4,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:08
2025-05-01 15:09:10+00:00,69.0,25.7,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:10
2025-05-01 15:09:12+00:00,70.0,26.0,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:12
2025-05-01 15:09:14+00:00,70.0,26.3,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:14
2025-05-01 15:09:16+00:00,69.0,25.8,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:16
2025-05-01 15:09:18+00:00,69.0,26.1,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:18
2025-05-01 15:09:20+00:00,68.0,25.6,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:20
2025-05-01 15:09:22+00:00,69.0,26.5,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:22
2025-05-01 15:09:24+00:00,69.0,25.3,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:24
2025-05-01 15:09:26+00:00,69.0,25.4,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:26
2025-05-01 15:09:28+00:00,69.0,25.2,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:28
2025-05-01 15:09:30+00:00,68.0,26.5,44.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:30
2025-05-01 15:09:32+00:00,67.0,25.3,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:32
2025-05-01 15:09:34+00:00,70.0,25.1,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:34
2025-05-01 15:09:36+00:00,67.0,25.9,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:36
2025-05-01 15:09:38+00:00,71.0,25.1,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:38
2025-05-01 15:09:40+00:00,71.0,25.0,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:40
2025-05-01 15:09:42+00:00,69.0,25.2,45.0,Da,"Bucuresti, Calea Plevnei",3,Nu,Atelier,Senin,Scazut,2025-05-01,15:09:42
